City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,292.15,94,90,7.2,US,1615315357
Sabang,5.8933,95.3214,300.7,75,69,5.04,ID,1615315371
Airai,-8.9266,125.4092,288.2,100,100,0.58,TL,1615315373
Ushuaia,-54.8,-68.3,291.15,45,75,6.17,AR,1615315091
Inhambane,-23.865,35.3833,299.15,78,20,2.06,MZ,1615315126
Hermanus,-34.4187,19.2345,294.26,68,100,5.36,ZA,1615315375
Margate,51.3813,1.3862,280.93,67,1,0.89,GB,1615315375
Lebu,-37.6167,-73.65,291.26,61,100,3.02,CL,1615315215
Vaini,-21.2,-175.2,296.15,68,40,2.57,TO,1615315376
Jalu,29.0331,21.5482,294.81,42,30,6.71,LY,1615315378
Kuruman,-27.4524,23.4325,295.37,25,1,4.65,ZA,1615315380
